,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,65,0,0,0,0,2,0,4,0,0,1,4,1,0,0,2,3,1,0,0,0,0,3,0,4,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,53,18,3,2,0,0,0,3,0,0,8,0,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
2,0,13,62,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,3,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,2,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,0,2,0,0,8,0,2,2,0,0,0,0,0,0,0,0,0,0,5
4,0,1,14,5,52,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,3,1,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,0,0,0,0,58,0,4,0,5,0,0,5,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0
6,1,0,1,0,0,1,61,0,0,1,0,13,1,0,1,1,2,0,0,3,1,4,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,21,0,5,0,0,0,0,0,3,0,4,0,0,0,7,7,1,0,0,5,1,0,0,35,1,2,0,0,0,0,0,0,0,1,0,3,0,1,1
8,0,3,0,0,8,1,0,2,31,3,1,0,2,1,1,0,0,2,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0
9,0,0,4,0,1,3,0,4,0,39,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,4,4,0,0,26,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0
10,0,0,0,0,0,1,1,8,1,2,40,0,0,4,10,0,1,0,0,0,6,0,5,6,0,1,1,5,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1
11,0,0,0,0,0,0,6,0,1,0,19,43,0,0,5,0,3,0,0,0,3,6,1,0,0,0,1,0,1,1,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,5,0,3,0,1,0,0,40,7,0,5,1,2,1,0,0,1,0,13,3,0,0,1,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,4,0,5,1,0,9,0,6,49,0,3,0,1,0,0,0,0,0,8,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3
14,0,0,1,0,3,0,0,2,13,4,12,5,1,0,33,0,2,1,0,0,10,2,0,3,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,7,0,0,0,0,1,0,2,1,0,6,8,4,3,1,23,3,2,0,1,0,2,5,0,3,0,13,1,0,9,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,0,0,1,1,5,3,9,13,4,1,1,0,28,3,0,0,1,5,7,2,2,1,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,8,4,0,0,0,12,0,0,4,0,19,0,0,1,10,3,12,1,1,2,0,0,4,14,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
18,0,1,0,0,1,0,10,2,2,0,1,0,7,0,10,1,3,4,32,0,0,1,1,2,3,0,1,0,3,2,1,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0
19,4,0,0,0,0,0,10,0,0,0,3,26,0,0,2,0,3,0,0,43,0,1,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
20,0,2,6,0,1,3,4,2,12,1,0,7,0,0,1,0,0,1,0,0,22,3,5,1,2,0,6,5,5,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,0,0,0,1,0,4,1,3,1,0,1,0,6,0,2,0,1,1,0,0,1,32,7,1,4,1,6,3,14,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,0,0,0,0,0,4,0,7,8,2,0,4,7,0,1,1,0,2,0,0,0,1,57,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,0,3,0,0,0,1,1,68,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,2,1,10,0,2,1,0,10,0,0,3,4,0,0,0,0,4,14,5,14,2,6,1,11,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,1,1,3,5,1,0,0,1,6,2,1,16,2,1,6,0,1,0,0,0,0,0,0,0,2,37,1,0,1,1,0,2,0,6,1,0,0,0,0,0,0,0,0,0,1,1
26,1,0,0,0,0,1,0,1,2,7,0,5,0,0,3,0,1,0,0,0,1,0,5,0,0,0,66,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,1,3,4,0,0,0,0,10,0,1,4,2,2,0,0,2,0,0,0,4,1,5,50,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
28,13,0,0,0,0,0,1,0,5,0,0,6,2,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,56,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0
29,4,0,0,1,0,20,0,2,2,0,0,4,2,0,0,1,10,7,4,0,0,0,0,0,8,0,1,0,3,21,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,5,2,2,2,21,0,0,0,1,0,1,1,0,0,0,1,15,0,14,1,0,2,0,0,1,27,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
31,0,0,0,11,0,1,0,7,7,1,1,0,12,0,3,0,0,2,0,0,0,0,1,0,0,3,0,2,1,0,2,37,1,5,0,0,0,0,0,1,0,2,0,0,0,0
32,0,0,0,0,0,5,0,9,0,1,1,0,1,0,0,4,1,4,2,1,0,0,0,3,0,0,0,5,0,0,1,0,61,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0,0,0,0,0,1,1,2,0,1,0,2,2,1,2,0,0,2,1,0,2,7,0,0,2,0,4,0,0,0,7,0,0,56,0,0,1,0,0,0,0,0,5,0,1,0
34,10,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,1,0,1,4,8,1,10,5,0,0,0,0,1,2,1,0,0,9,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
36,0,0,2,0,1,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,2,0,6,0,0,0,0,40,0,0,0,0,2,0,0,13
38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,68,25,0,1,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,31,46,0,0,1,0,0,0
40,0,0,2,0,1,1,3,0,0,0,0,5,0,0,8,5,12,1,0,0,0,0,0,1,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,47,4,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,91,0,0,0,0
42,0,1,2,0,0,0,0,0,5,5,0,0,0,1,5,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,62,0,0,0
43,0,0,10,0,7,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,5,17,5,22,6,4
44,0,3,0,9,0,0,0,1,4,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
45,0,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,59
